key,name,pos,team,bye,std,half_ppr,ppr
taylor_RB_IND,Jonathan Taylor,RB,IND,14,1.0,1.0,1.0
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,3.0,3.3,3.0
ekeler_RB_LAC,Austin Ekeler,RB,LAC,8,3.0,3.0,3.3
kupp_WR_LAR,Cooper Kupp,WR,LAR,7,4.3,4.0,3.8
henry_RB_TEN,Derrick Henry,RB,TEN,6,5.3,3.8,4.7
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7,5.3,6.5,6.0
harris_RB_PIT,Najee Harris,RB,PIT,9,7.0,7.0,7.0
cook_RB_MIN,Dalvin Cook,RB,MIN,7,7.3,7.5,7.7
chase_WR_CIN,Ja'Marr Chase,WR,CIN,10,8.7,9.0,8.8
mixon_RB_CIN,Joe Mixon,RB,CIN,10,10.7,10.3,10.3
adams_WR_LV,Davante Adams,WR,LV,6,11.3,11.0,11.0
swift_RB_DET,D'Andre Swift,RB,DET,6,13.0,14.5,14.7
kelce_TE_KC,Travis Kelce,TE,KC,8,13.3,14.3,14.3
diggs_WR_BUF,Stefon Diggs,WR,BUF,7,13.7,12.8,12.8
chubb_RB_CLE,Nick Chubb,RB,CLE,9,16.3,14.8,17.2
williams_RB_DEN,Javonte Williams,RB,DEN,9,17.0,19.8,20.0
samuel_WR_SF,Deebo Samuel,WR,SF,9,18.0,19.0,16.8
lamb_WR_DAL,CeeDee Lamb,WR,DAL,9,18.7,17.3,18.0
kamara_RB_NO,Alvin Kamara,RB,NO,14,18.7,19.3,18.7
barkley_RB_NYG,Saquon Barkley,RB,NYG,9,19.7,21.5,23.3
hill_WR_MIA,Tyreek Hill,WR,MIA,11,20.0,21.5,20.0
andrews_TE_BAL,Mark Andrews,TE,BAL,10,22.0,22.8,21.7
jones_RB_GB,Aaron Jones,RB,GB,14,22.3,17.5,19.7
allen_QB_BUF,Josh Allen,QB,BUF,7,23.7,23.3,21.8
fournette_RB_TB,Leonard Fournette,RB,TB,11,24.3,23.3,23.7
brown_WR_PHI,A.J. Brown,WR,PHI,7,28.0,28.8,29.2
evans_WR_TB,Mike Evans,WR,TB,11,28.0,25.0,26.3
akers_RB_LAR,Cam Akers,RB,LAR,7,28.3,32.8,36.2
allen_WR_LAC,Keenan Allen,WR,LAC,8,28.7,28.8,28.3
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,9,31.7,30.0,30.3
conner_RB_ARI,James Conner,RB,ARI,13,33.7,32.3,31.3
pitts_TE_ATL,Kyle Pitts,TE,ATL,14,33.7,36.0,34.8
higgins_WR_CIN,Tee Higgins,WR,CIN,10,33.7,31.0,33.2
montgomery_RB_CHI,David Montgomery,RB,CHI,14,34.3,33.0,33.2
mahomes_QB_KC,Patrick Mahomes II,QB,KC,8,34.3,36.0,33.0
gibson_RB_WSH,Antonio Gibson,RB,WSH,14,37.7,37.0,40.5
herbert_QB_LAC,Justin Herbert,QB,LAC,8,38.0,37.3,36.5
hall_RB_NYJ,Breece Hall,RB,NYJ,10,38.3,43.5,51.7
jacobs_RB_LV,Josh Jacobs,RB,LV,6,40.7,43.3,43.3
johnson_WR_PIT,Diontae Johnson,WR,PIT,9,41.0,41.8,41.8
etienne_RB_JAX,Travis Etienne Jr.,RB,JAX,11,41.3,45.3,48.0
pittman_WR_IND,Michael Pittman Jr.,WR,IND,14,41.7,38.0,40.8
kittle_TE_SF,George Kittle,TE,SF,9,42.3,42.5,41.7
waddle_WR_MIA,Jaylen Waddle,WR,MIA,11,43.0,41.0,41.8
moore_WR_CAR,DJ Moore,WR,CAR,13,44.0,46.5,44.5
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,14,44.7,41.5,42.3
waller_TE_LV,Darren Waller,TE,LV,6,45.7,47.0,45.8
metcalf_WR_SEA,DK Metcalf,WR,SEA,11,46.3,46.3,44.8
williams_WR_LAC,Mike Williams,WR,LAC,8,48.3,50.3,53.7
mitchell_RB_SF,Elijah Mitchell,RB,SF,9,48.3,45.8,48.8
jackson_QB_BAL,Lamar Jackson,QB,BAL,10,50.7,49.0,49.0
dobbins_RB_BAL,J.K. Dobbins,RB,BAL,10,57.3,54.0,50.7
dillon_RB_GB,AJ Dillon,RB,GB,14,58.0,58.5,66.7
godwin_WR_TB,Chris Godwin,WR,TB,11,58.3,65.3,57.2
brown_WR_DET,Amon-Ra St. Brown,WR,DET,6,58.7,72.5,68.7
burrow_QB_CIN,Joe Burrow,QB,CIN,10,59.0,54.8,60.0
brown_WR_ARI,Marquise Brown,WR,ARI,13,59.0,61.8,68.0
murray_QB_ARI,Kyler Murray,QB,ARI,13,60.3,59.3,59.0
sutton_WR_DEN,Courtland Sutton,WR,DEN,9,60.7,61.8,67.2
cooks_WR_HOU,Brandin Cooks,WR,HOU,6,61.0,62.8,55.3
cooper_WR_CLE,Amari Cooper,WR,CLE,9,62.3,64.8,62.3
mooney_WR_CHI,Darnell Mooney,WR,CHI,14,63.3,76.5,69.5
schultz_TE_DAL,Dalton Schultz,TE,DAL,9,63.3,65.0,63.2
robinson_WR_LAR,Allen Robinson II,WR,LAR,7,66.7,65.3,70.0
prescott_QB_DAL,Dak Prescott,QB,DAL,9,68.0,75.0,76.5
hockenson_TE_DET,T.J. Hockenson,TE,DET,6,68.0,64.0,67.7
harris_RB_NE,Damien Harris,RB,NE,10,68.3,59.8,67.8
hurts_QB_PHI,Jalen Hurts,QB,PHI,7,69.0,66.5,67.7
thomas_WR_NO,Michael Thomas,WR,NO,14,70.0,69.3,77.0
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,8,70.7,63.3,64.5
jeudy_WR_DEN,Jerry Jeudy,WR,DEN,9,71.0,61.8,66.8
davis_WR_BUF,Gabriel Davis,WR,BUF,7,72.0,73.5,78.8
thielen_WR_MIN,Adam Thielen,WR,MIN,7,73.0,74.0,69.5
sanders_RB_PHI,Miles Sanders,RB,PHI,7,74.0,69.3,69.3
singletary_RB_BUF,Devin Singletary,RB,BUF,7,74.3,79.3,80.8
moore_WR_NYJ,Elijah Moore,WR,NYJ,10,77.3,85.3,84.8
smithschuster_WR_KC,JuJu Smith-Schuster,WR,KC,8,78.0,79.0,83.7
wilson_QB_DEN,Russell Wilson,QB,DEN,9,78.3,77.8,82.2
pollard_RB_DAL,Tony Pollard,RB,DAL,9,79.7,84.0,82.5
hunt_RB_CLE,Kareem Hunt,RB,CLE,9,80.0,79.3,79.5
penny_RB_SEA,Rashaad Penny,RB,SEA,11,80.7,81.5,81.7
patterson_RB_ATL,Cordarrelle Patterson,RB,ATL,14,81.0,86.5,79.8
renfrow_WR_LV,Hunter Renfrow,WR,LV,6,82.3,81.3,77.3
edmonds_RB_MIA,Chase Edmonds,RB,MIA,11,84.3,90.5,94.7
goedert_TE_PHI,Dallas Goedert,TE,PHI,7,84.7,79.0,78.8
smith_WR_PHI,DeVonta Smith,WR,PHI,7,85.0,90.0,86.3
stafford_QB_LAR,Matthew Stafford,QB,LAR,7,86.3,85.0,88.5
brady_QB_TB,Tom Brady,QB,TB,11,86.3,82.0,81.2
bateman_WR_BAL,Rashod Bateman,WR,BAL,10,86.7,86.5,93.2
walker_RB_SEA,Ken Walker III,RB,SEA,11,87.7,88.8,101.8
lockett_WR_SEA,Tyler Lockett,WR,SEA,11,89.3,97.8,87.3
burks_WR_TEN,Treylon Burks,WR,TEN,6,91.3,123.3,111.7
london_WR_ATL,Drake London,WR,ATL,14,93.7,110.5,98.5
ertz_TE_ARI,Zach Ertz,TE,ARI,13,94.7,97.5,92.7
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,13,96.0,85.8,75.5
rodgers_QB_GB,Aaron Rodgers,QB,GB,14,96.0,93.5,82.5
gordon_RB_DEN,Melvin Gordon III,RB,DEN,9,97.0,94.3,100.2
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,10,97.0,98.5,112.3
lance_QB_SF,Trey Lance,QB,SF,9,100.3,104.3,105.2
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,9,100.7,99.5,99.7
knox_TE_BUF,Dawson Knox,TE,BUF,7,101.0,91.5,96.8
woods_WR_TEN,Robert Woods,WR,TEN,6,102.3,105.3,102.5
carter_RB_NYJ,Michael Carter,RB,NYJ,10,104.7,106.5,108.5
kirk_WR_JAX,Christian Kirk,WR,JAX,11,106.0,112.3,106.3
claypool_WR_PIT,Chase Claypool,WR,PIT,9,107.7,115.3,108.5
carr_QB_LV,Derek Carr,QB,LV,6,108.0,110.5,110.2
cousins_QB_MIN,Kirk Cousins,QB,MIN,7,108.7,115.8,122.0
olave_WR_NO,Chris Olave,WR,NO,14,108.7,121.8,118.5
spiller_RB_LAC,Isaiah Spiller,RB,LAC,8,110.3,130.5,149.2
toney_WR_NYG,Kadarius Toney,WR,NYG,9,112.0,123.5,122.2
robinson_RB_JAX,James Robinson,RB,JAX,11,112.3,112.5,107.0
cook_RB_BUF,James Cook,RB,BUF,7,113.3,111.5,116.2
lazard_WR_GB,Allen Lazard,WR,GB,14,113.3,112.3,113.5
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,10,114.3,135.5,131.5
gage_WR_TB,Russell Gage,WR,TB,11,114.7,113.3,119.5
gesicki_TE_MIA,Mike Gesicki,TE,MIA,11,116.7,113.0,114.8
mattison_RB_MIN,Alexander Mattison,RB,MIN,7,118.0,115.5,123.8
freiermuth_TE_PIT,Pat Freiermuth,TE,PIT,9,119.0,121.5,116.5
jones_RB_KC,Ronald Jones II,RB,KC,8,121.3,114.3,129.8
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,11,122.3,131.5,137.3
kmet_TE_CHI,Cole Kmet,TE,CHI,14,122.3,147.3,139.7
fields_QB_CHI,Justin Fields,QB,CHI,14,123.0,146.8,144.8
boyd_WR_CIN,Tyler Boyd,WR,CIN,10,124.7,140.0,133.5
henderson_RB_LAR,Darrell Henderson Jr.,RB,LAR,7,127.3,122.0,130.2
gainwell_RB_PHI,Kenneth Gainwell,RB,PHI,7,128.7,147.3,166.2
white_RB_TB,Rachaad White,RB,TB,11,131.0,143.0,170.0
smith_TE_MIN,Irv Smith Jr.,TE,MIN,7,132.0,162.3,156.7
hines_RB_IND,Nyheim Hines,RB,IND,14,132.3,132.5,135.8
pierce_RB_HOU,Dameon Pierce,RB,HOU,6,133.0,135.3,147.3
golladay_WR_NYG,Kenny Golladay,WR,NYG,9,135.3,152.3,162.8
meyers_WR_NE,Jakobi Meyers,WR,NE,10,136.3,151.7,157.5
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,11,137.0,158.0,162.8
mckissic_RB_WSH,J.D. McKissic,RB,WSH,14,137.3,145.5,147.2
landry_WR_NO,Jarvis Landry,WR,NO,14,138.3,142.0,146.8
chark_WR_DET,DJ Chark Jr.,WR,DET,6,139.3,164.5,165.0
valdesscantling_WR_KC,Marquez Valdes-Scantling,WR,KC,8,140.3,141.5,149.2
moore_WR_KC,Skyy Moore,WR,KC,8,140.7,147.8,143.0
moore_WR_ARI,Rondale Moore,WR,ARI,13,141.0,166.0,174.8
gallup_WR_DAL,Michael Gallup,WR,DAL,9,145.0,156.8,147.0
herbert_RB_CHI,Khalil Herbert,RB,CHI,14,145.0,162.0,177.8
okwuegbunam_TE_DEN,Albert Okwuegbunam,TE,DEN,9,148.0,151.8,173.0
mostert_RB_MIA,Raheem Mostert,RB,MIA,11,150.0,142.5,144.8
ryan_QB_IND,Matt Ryan,QB,IND,14,151.0,163.3,164.8
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,6,151.7,171.8,189.5
dotson_WR_WSH,Jahan Dotson,WR,WSH,14,153.3,176.8,182.7
parker_WR_NE,DeVante Parker,WR,NE,10,153.7,149.5,154.0
williams_RB_DET,Jamaal Williams,RB,DET,6,155.3,160.5,169.7
tolbert_WR_DAL,Jalen Tolbert,WR,DAL,9,155.3,175.8,194.3
hardman_WR_KC,Mecole Hardman,WR,KC,8,155.3,160.8,155.2
njoku_TE_CLE,David Njoku,TE,CLE,9,155.7,173.0,163.0
fant_TE_SEA,Noah Fant,TE,SEA,11,156.0,171.5,162.2
allgeier_RB_ATL,Tyler Allgeier,RB,ATL,14,157.0,150.3,169.2
watson_WR_GB,Christian Watson,WR,GB,14,157.3,156.3,154.0
watson_QB_CLE,Deshaun Watson,QB,CLE,9,157.3,155.3,151.0
williams_WR_DET,Jameson Williams,WR,DET,6,157.7,166.3,177.0
henry_TE_NE,Hunter Henry,TE,NE,10,160.0,168.3,146.3
winston_QB_NO,Jameis Winston,QB,NO,14,160.7,175.5,178.8
jones_QB_NE,Mac Jones,QB,NE,10,162.3,165.0,179.2
williams_RB_ARI,Darrel Williams,RB,ARI,13,165.3,170.5,190.2
pickens_WR_PIT,George Pickens,WR,PIT,9,167.0,165.3,183.7
edwards_RB_BAL,Gus Edwards,RB,BAL,10,168.0,159.5,200.3
everett_TE_LAC,Gerald Everett,TE,LAC,8,170.7,189.3,183.5
engram_TE_JAX,Evan Engram,TE,JAX,11,171.7,182.8,187.0
tucker_K_BAL,Justin Tucker,K,BAL,10,172.3,140.0,122.7
tonyan_TE_GB,Robert Tonyan,TE,GB,14,172.7,182.0,182.7
ingram_RB_NO,Mark Ingram II,RB,NO,14,173.0,159.8,166.2
mack_RB_HOU,Marlon Mack,RB,HOU,6,174.7,146.5,154.8
foreman_RB_CAR,D'Onta Foreman,RB,CAR,13,175.0,178.8,199.6
jones_WR_TB,Julio Jones,WR,TB,11,177.7,161.0,171.7
palmer_WR_LAC,Joshua Palmer,WR,LAC,8,178.3,177.0,203.6
drake_RB_LV,Kenyan Drake,RB,LV,6,179.0,196.7,199.5
anderson_WR_CAR,Robbie Anderson,WR,CAR,13,180.7,196.0,201.0
robinson_RB_WSH,Brian Robinson Jr.,RB,WSH,14,182.3,182.0,185.5
carlson_K_LV,Daniel Carlson,K,LV,6,182.7,153.3,143.5
pierce_WR_IND,Alec Pierce,WR,IND,14,182.7,190.0,213.5
davis_WR_NYJ,Corey Davis,WR,NYJ,10,184.3,187.5,207.8
mills_QB_HOU,Davis Mills,QB,HOU,6,185.3,205.5,227.4
wilson_QB_NYJ,Zach Wilson,QB,NYJ,10,187.3,186.5,216.7
michel_RB_MIA,Sony Michel,RB,MIA,11,187.7,176.0,188.5
mcpherson_K_CIN,Evan McPherson,K,CIN,10,188.3,153.3,141.0
jefferson_WR_LAR,Van Jefferson,WR,LAR,7,189.0,173.7,199.3
wentz_QB_WSH,Carson Wentz,QB,WSH,14,191.0,188.0,218.0
osborn_WR_MIN,K.J. Osborn,WR,MIN,7,191.7,181.5,211.8
davisprice_RB_SF,Tyrion Davis-Price,RB,SF,9,193.3,191.5,173.5
butker_K_KC,Harrison Butker,K,KC,8,193.3,161.0,143.5
goff_QB_DET,Jared Goff,QB,DET,6,195.3,212.8,224.0
higbee_TE_LAR,Tyler Higbee,TE,LAR,7,196.3,205.5,190.2
watkins_WR_GB,Sammy Watkins,WR,GB,14,197.3,192.3,223.0
peoplesjones_WR_CLE,Donovan Peoples-Jones,WR,CLE,9,198.7,197.5,225.8
jones_QB_NYG,Daniel Jones,QB,NYG,9,199.0,237.7,229.0
doubs_WR_GB,Romeo Doubs,WR,GB,14,199.3,208.5,221.0
gay_K_LAR,Matt Gay,K,LAR,7,199.7,166.3,155.7
white_RB_LV,Zamir White,RB,LV,6,200.0,203.3,217.0
hurst_TE_CIN,Hayden Hurst,TE,CIN,10,205.3,211.0,211.5
mayfield_QB_CAR,Baker Mayfield,QB,CAR,13,206.3,195.5,217.7
bills_DST_BUF,Bills,DST,BUF,7,144.0,120.3,107.7
